GCA_000251025.1 Salmonella_enterica
GCA_000008865.2 Escherichia_flexneri
GCA_000196035.1 Listeria_monocytogenes
GCA_000009085.1 Campylobacter_D_jejuni
GCA_000013425.1 Staphylococcus_aureus
GCA_000018985.1 Streptococcus_pneumoniae
GCA_000253455.2 Campylobacter_D_coli
GCA_000281255.1 Klebsiella_pneumoniae
GCA_000147235.1 Enterococcus_B_faecium
GCA_000009205.2 Clostridioides_difficile
GCA_000258285.1 Pseudomonas_aeruginosa
GCA_000184475.2 Acinetobacter_baumannii
GCA_000195955.2 Mycobacterium_tuberculosis
GCA_001270945.1 Vibrio_parahaemolyticus
GCA_000147275.1 Enterococcus_faecalis
GCA_000008805.1 Neisseria_meningitidis
GCA_000006745.1 Vibrio_cholerae
GCA_000008485.1 Legionella_pneumophila
GCA_000011925.1 Staphylococcus_epidermidis
GCA_000006785.2 Streptococcus_pyogenes
GCA_000005845.2 Escherichia_flexneri
GCA_000007825.1 Bacillus_A_[bombysepticus,thuringiensis,anthracis,toyonensis,cereus,paranthracis,wiedmannii]
GCA_000328905.1 Enterobacter_hormaechei_A
GCA_000014305.1 Streptococcus_suis
GCA_000185885.1 Staphylococcus_pseudintermedius
GCA_000011545.1 Burkholderia_mallei
GCA_000069185.1 Mycobacterium_abscessus
GCA_000007265.1 Streptococcus_agalactiae
GCA_000452485.1 Pseudomonas_E_viridiflava
GCA_000513215.1 Serratia_marcescens
GCA_000240185.2 Klebsiella_pneumoniae
GCA_000195715.1 Bordetella_pertussis
GCA_000185185.1 Helicobacter_pylori_C
GCA_000008525.1 Helicobacter_pylori
GCA_000333795.2 Wolbachia_pipientis
GCA_000008985.1 Francisella_tularensis
GCA_000007165.1 Xanthomonas_perforans
GCA_000007525.1 Bifidobacterium_longum
GCA_001521715.1 Enterobacter_[hormaechei,cloacae,roggenkampii]
GCA_000006845.1 Neisseria_gonorrhoeae
GCA_000009065.1 Yersinia_pestis
GCA_000019505.1 Burkholderia_[cenocepacia,cepacia,contaminans]
GCA_000054005.1 Brucella_melitensis
GCA_000007045.1 Streptococcus_pneumoniae
GCA_000027305.1 Haemophilus_influenzae
GCA_010509075.1 Collinsella_[aerofaciens]
GCA_016084405.1 Citrobacter_freundii
GCA_001277215.2 Cronobacter_sakazakii
GCA_000072485.1 Stenotrophomonas_maltophilia
GCA_000063585.1 Clostridium_F_botulinum
GCA_000069965.1 Proteus_mirabilis
GCA_000203855.3 Lactiplantibacillus_plantarum
GCA_001598695.1 Klebsiella_A_[michiganensis,oxytoca,grimontii]
GCA_000195815.1 Corynebacterium_diphtheriae
GCA_000186585.1 Vibrio_vulnificus
GCA_000262045.1 Bacillus_velezensis
GCA_000227465.1 Bacillus_subtilis
GCA_000009685.1 Clostridium_P_perfringens
GCA_000012245.1 Pseudomonas_E_[amygdali,syringae,cerasi]
GCA_000981825.1 Pseudomonas_aeruginosa
GCA_000185345.1 Campylobacter_D_upsaliensis
GCA_000012825.1 Phocaeicola_vulgatus
GCA_000648515.1 Citrobacter_[freundii,braakii,portucalensis,werkmanii]
GCA_000270525.1 Mycoplasmopsis_bovis
GCA_000330605.1 Yersinia_enterocolitica
GCA_000007385.1 Xanthomonas_oryzae
GCA_000876195.1 Streptococcus_equi
GCA_000195795.1 Listeria_innocua
GCA_000009865.1 Staphylococcus_haemolyticus
GCA_000007865.1 Mycobacterium_avium
GCA_000345485.2 Helicobacter_pylori_BU
GCA_000015425.1 Acinetobacter_baumannii
GCA_000009225.1 Pseudomonas_E_[carnis,extremorientalis]
GCA_000369045.1 Acinetobacter_pittii
GCA_000272085.2 Vibrio_crassostreae
GCA_000010425.1 Bifidobacterium_adolescentis
GCA_000092565.1 Leptospira_interrogans
GCA_000007805.1 Pseudomonas_E_avellanae
GCA_000314125.1 Campylobacter_D_coli_A
GCA_000010545.1 Burkholderia_multivorans
GCA_000011645.1 Bacillus_licheniformis
GCA_000019925.1 Burkholderia_[vietnamiensis,ambifaria,territorii,diffusa]
GCA_000178215.1 Bacteroides_ovatus
GCA_002888175.1 Burkholderia_ubonensis
GCA_000008345.1 Cutibacterium_acnes
GCA_000374505.1 Alistipes_onderdonkii
GCA_000741685.1 Bifidobacterium_pseudocatenulatum
GCA_000009925.1 Bacteroides_fragilis
GCA_000154205.1 Bacteroides_uniformis
GCA_000056065.1 Lactobacillus_delbrueckii
GCA_000006825.1 Pasteurella_multocida
GCA_000008605.1 Treponema_pallidum
GCA_000017885.4 Bacillus_pumilus
GCA_000159135.1 Corynebacterium_striatum
GCA_000007785.1 Enterococcus_faecalis
GCA_000194745.1 Burkholderia_gladioli
GCA_000341445.1 Vibrio_alginolyticus
GCA_000014525.1 Lacticaseibacillus_paracasei
GCA_000020165.1 Clostridium_botulinum_A
GCA_900106755.1 Bacteroides_thetaiotaomicron
GCA_000009265.1 Rhizobium_laguerreae
GCA_000007465.2 Streptococcus_mutans
GCA_900012605.1 Agrobacterium_tumefaciens
GCA_001022195.1 Klebsiella_A_[michiganensis,grimontii,oxytoca]
GCA_000011045.1 Lacticaseibacillus_rhamnosus
GCA_900039255.1 Agrobacterium_sp000192635
GCA_000320385.2 Sinorhizobium_meliloti
GCA_000178255.1 Turicibacter_sanguinis
GCA_000272265.2 Vibrio_[splendidus,lentus,tasmaniensis]
GCA_000016825.1 Limosilactobacillus_reuteri
GCA_000534075.1 Klebsiella_aerogenes
GCA_000294535.1 Pectobacterium_[brasiliense,carotovorum,polaris]
GCA_000305335.2 Streptococcus_salivarius
GCA_000638495.1 Staphylococcus_A_sciuri
GCA_013106695.1 Rhodophyticola_sp007827395
GCA_000007565.2 Pseudomonas_E_[hunanensis,asiatica,monteilii]
GCA_000006865.1 Lactococcus_lactis
GCA_000813485.1 Aeromonas_hydrophila
GCA_000286435.2 Morganella_morganii
GCA_000025825.1 Priestia_megaterium
GCA_000271405.2 Enterococcus_B_hirae
GCA_000014385.1 Oenococcus_oeni
GCA_000092265.1 Moraxella_catarrhalis
GCA_000368605.1 Acinetobacter_nosocomialis
GCA_000751495.1 Staphylococcus_argenteus
GCA_017504145.1 Akkermansia_muciniphila
GCA_000019205.1 Campylobacter_D_lari
GCA_000400325.1 Vibrio_[campbellii,harveyi,owensii,jasicida]
GCA_000586315.1 Legionella_fraseri
GCA_000176275.1 Mannheimia_haemolytica
GCA_000495935.2 Elizabethkingia_anophelis
GCA_000008925.1 Ligilactobacillus_salivarius
